Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,MeanCurvGrad,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,LABGrad,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,MohoGrad,Topo,TopoGrad,Tectonics,TectonicsGrad,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,SusGrad,Bz5,Bz5Grad,Bz400,Curie,Methane,IceTopography
129,-31.5,54.385,-40.9690609,-0.024355975,5.12519E-08,-0.667148062,148.9853134,148.9853134,160.8253174,148.9853134,0.000360627,36.59000015,36.59000015,37.71500015,37.71500015,1.09306E-05,106.5,0.000728608,1,8.43113E-06,1922,3236.5,2354.5,1327,1416.052002,112.9742775,0.025555335,0.025557311,0.024934228,0.024934228,4.79235E-08,38.88574982,0.001332802,8.050700188,63.24263763,1801.268494,0
129,-31,56.662,-40.46575928,-0.027286076,5.40779E-08,-0.723365423,163.5086975,163.5086975,171.1156158,163.5086975,0.000273527,36.88249969,36.88249969,40.03999996,40.03999996,9.90157E-06,148.25,0.000603466,1,5.62075E-06,1977.5,3182.25,2301.75,1356.75,1446.437012,39.51577926,0.025351124,0.025340823,0.023338561,0.023338561,7.58894E-09,-32.27474976,0.000919222,7.505199909,65.55301666,1803.336517,0
129.5,-31.5,56.877,-41.55238342,-0.023631167,4.74325E-08,-0.633376753,148.0697174,148.0697174,160.3896484,148.0697174,0.000391641,37.06999969,37.06999969,38.38000107,38.38000107,1.1125E-05,92.50000001,0.000404895,1,8.43113E-06,1927,3246,2369,1286,1376.775513,138.521225,0.025231293,0.025224382,0.024354122,0.024354122,6.05878E-08,49.51900482,0.001529436,8.12899971,61.07124424,1799.767944,0
129.5,-26,67.196,39.89192581,0.004474996,6.61767E-08,0.222112021,188.4269714,188.4269714,213.289917,188.4269714,9.016E-05,37.28499985,37.28499985,46.81499863,46.81499863,3.49259E-06,706.9999999,0.006949594,1,0,2535.5,2653,1796,1686,1789.768005,-25.51826477,0.034495988,0.03449961,0.027368085,0.027368085,3.4428E-09,-84.3105011,0.001821345,1.872799993,70.68108749,1788.003479,0
129.5,-14.5,53.098,21.983042,0.004524327,6.30259E-08,0.243974992,167.0751495,167.0751495,223.0070801,167.0751495,9.58757E-05,38,38,32.13000107,32.13000107,1.92392E-05,3.499999972,0.002152007,1,5.80644E-07,1701,1460,611.5,988.2000122,826.2835083,-0.980814636,0.009234586,0.00922959,0.011041677,0.011041677,2.01217E-07,-73.26199341,5.84489E-05,-0.943910003,80.40213585,1792.550049,0
130,-31.5,55.981,-42.13570595,-0.021669251,6.00361E-08,-0.601309987,154.8425598,154.8425598,163.1018066,154.8425598,0.000423723,37.51000023,37.51000023,39.49500084,39.49500084,1.06482E-05,80.5,0.001495716,1,8.43113E-06,1934,3257.5,2385.5,1246,1337.499023,123.3023453,0.022817854,0.02280537,0.021690842,0.021690842,9.88456E-08,63.91550064,0.001844681,8.18599987,58.89985085,1799.515442,0
130,-31,69.115,-47.32521439,-0.022988939,7.68049E-08,-0.646090734,171.3168449,171.3168449,173.3861694,171.3168449,0.000317258,37.72499943,37.72499943,41.28250027,41.28250027,8.84616E-06,125,0.001354228,1,5.62075E-06,1989.25,3203.75,2333.25,1277.25,1369.208008,32.69062805,0.025181449,0.025137431,0.022926905,0.022926905,1.16536E-08,-31.00499916,0.00086326,7.338699818,64.13951111,1802.665222,0
131.5,-13,82.76,41.58665466,0.022332866,8.34321E-08,0.782852086,180.223732,180.223732,222.6360474,180.223732,6.7324E-05,37.18000031,37.18000031,39.50500107,39.50500107,1.94168E-05,44.99999999,0.00287598,1,0,1501,1343.5,486.3500061,733.6000061,719.1260071,-35.49416351,0.018189562,0.018196709,0.017130198,0.017130198,9.8489E-09,18.88850021,0.001308527,1.159999967,79.58853149,1795.874512,0
132,-30.5,71.368,1.436537981,-0.003564716,7.3975E-08,-0.253173662,199.1241074,199.1241074,190.3974609,199.1241074,0.000114949,39.24499893,39.24499893,45.36499977,45.36499977,8.74727E-06,140.25,0.004815798,1,2.81038E-06,2076.5,3204,2353.5,1157.5,1258.278015,-112.863018,0.02533656,0.025337182,0.021885017,0.021885017,2.37418E-08,-189.6324921,0.000670465,5.812699795,68.51703262,1797.012512,0
132,-29,70.428,9.588951111,-0.007774595,1.67706E-07,-0.654100553,202.5898514,202.5898514,198.2341309,202.5898514,3.17304E-05,38.98500061,38.98500061,43.87749958,43.87749958,7.88291E-06,235,0.003196929,1,0,2240.25,3046.25,2201.5,1273.25,1376.197998,-69.19170475,0.016772792,0.016781603,0.01484837,0.01484837,1.12745E-07,-45.09550095,0.000323117,1.167299986,74.52377319,1790.949249,0
