dataset,id,Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography,x,y
test,2292,128.49711,-16.5,68,14.64611538,0.004911345,0.463671078,176.4837252,176.4837252,218.9479077,176.4837252,38.67682131,38.67682131,39.94823786,39.94823786,155.9057005,1,1942.0867,1615.89596,792.856078,1233.17629,1007.859203,125.8070784,0.025898953,0.025889069,0.025160657,0.025160657,11.84078965,0.681511745,85.41936383,1791.847589,0,-195259,8164516
test,2293,129.01734,-16.5,68,-6.608024198,0.000551177,0.054804803,179.2261054,179.2261054,215.253234,179.2261054,39.49739648,39.49739648,41.13470984,41.13470984,151.2980001,1,1929.58384,1637.72828,813.7453214,1204.5463,1033.848413,195.649817,0.010091525,0.010078452,0.009661317,0.009661317,29.32257122,1.82660881,82.73970113,1792.41719,0,-139460,8166249
test,2294,129.53757,-16.5,68,0.208174364,-0.001067353,-0.136151315,181.3151903,181.3151903,211.6137606,181.3151903,40.29907116,40.29907116,42.18777926,42.18777926,139.9748001,1,1917.36131,1659.84093,833.573359,1176.23421,1043.311652,253.704231,0.021816978,0.021775537,0.020844586,0.020844586,43.31939826,2.593927652,84.94707474,1792.997485,0,-83705,8167836
test,2295,130.0578,-16.5,68,6.371812157,-0.000694256,-0.135139736,175.6109099,175.6109099,208.6327893,175.6109099,40.84011083,40.84011083,41.46465789,41.46465789,357.08,1,1908.5174,1685.3322,840.128276,1151.7834,1052.898959,157.7053324,0.030847883,0.030819662,0.030369537,0.030369537,53.07375646,3.010020907,87.22469873,1793.640469,0,-27992,8169277
test,2296,130.57803,-16.5,68,7.314625109,7.82E-06,-0.001660778,170.8695123,170.8695123,206.098295,170.8695123,41.42172614,41.42172614,40.92100576,40.92100576,160.4093002,1,1900.06364,1708.95075,846.9250842,1128.03486,1063.47888,70.06499444,0.031477645,0.031470607,0.031912338,0.031912338,40.62245114,3.159458397,90.06436223,1794.329803,0,27685,8170572
test,2297,131.09827,-16.5,68,8.890392162,0.000355744,0.078212023,171.5848344,171.5848344,206.0940084,171.5848344,42.23330126,42.23330126,41.39442408,41.39442408,105.5847999,1,1893.82076,1721.95675,855.0928585,1108.26574,1075.050205,29.79227271,0.030878899,0.030882156,0.0315603,0.0315603,9.745979411,3.151501712,92.4072872,1795.28182,0,83330,8171722
test,2298,131.6185,-16.5,68,13.18389489,0.000483056,0.131346276,173.7624232,173.7624232,206.7677626,173.7624232,43.06500556,43.06500556,41.84057836,41.84057836,161.9500001,1,1888.4075,1729.5115,864.8009686,1089.0895,1090.877435,27.53614199,0.010832715,0.010826737,0.011134814,0.011134814,-4.968621603,3.08340992,92.61698547,1796.117343,0,138944,8172728
test,2299,132.13873,-16.5,68,15.46657297,0.00034052,0.152124901,180.8973282,180.8973282,209.7401607,180.8973282,43.96500322,43.96500322,42.19433492,42.19433492,248.1476,1,1885.80635,1718.58667,879.7315442,1071.92191,1107.475376,154.1584427,0.013248354,0.013235482,0.013776211,0.013776211,12.78515294,3.015877262,92.51519958,1796.558001,0,194534,8173589
test,2300,132.65896,-16.5,68,12.21959195,-0.000273542,-0.160062208,185.9985924,185.9985924,212.3803669,185.9985924,44.82685082,44.82685082,42.4829179,42.4829179,283.7932001,1,1884.15896,1706.86704,895.3774495,1056.34392,1126.192733,222.2650702,0.012995973,0.012977591,0.013721255,0.013721255,31.89289679,2.96654215,91.5568491,1797.094343,0,250102,8174306
test,2301,133.17919,-16.5,68,8.659726223,-0.001038365,-0.2583265,186.477981,186.477981,214.2655974,186.477981,45.60199439,45.60199439,42.62338024,42.62338024,260.4972,1,1884.67919,1693.34106,912.6490919,1044.37863,1146.418506,157.3825357,0.012782334,0.012744119,0.01384267,0.01384267,20.70124462,2.91920816,89.22901478,1797.848143,0,305653,8174879
